(Cantidad de reviews, Score, Titulo)
(53, 5.0, 'Right-Brained Children in a Left-Brained World: Unlocking the Potential of Your ADD Child', '0684842718')
(53, 5.0, "Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers", '0671739166')
(53, 5.0, 'Story of Philosophy', '078610287')
(53, 5.0, 'The Backstreet Boys: Official Biography', '0752224069')
(53, 5.0, 'Story of Philosophy (Touchstone Books (Paperback))', '067120159')
(53, 5.0, "The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers", '0808577697')
(53, 5.0, 'RIGHT-BRAINED CHILDREN IN A LEFT-BRAINED WORLD: UNLOCKING THE POTENTIAL OF YOUR ADD CHILD', '0684847930')
(52, 5.0, "Revelations : There's a Light After the Lime", '0743434188')
(52, 5.0, 'Stone Butch Blues', '156341029')
(52, 5.0, 'Mindfulness in Plain English', '0861710649')
(51, 5.0, 'Back to Basics for the Republican Party', '0970006306')
(51, 5.0, 'Back to Basics for the Republican Party, Second Edition', '0970006314')
(51, 5.0, 'The Mysteries of Harris Burdick', '0395827841')
(51, 5.0, "Uncle Shelby's ABZ Book: A Primer for Adults Only", '067121148')
(51, 5.0, 'JOHNSTOWN FLOOD', '0671207148')
(51, 5.0, 'The Tracker', '0425101339')
(50, 5.0, 'A Pinky is a Baby Mouse : And Other Baby Animal Names (Pinky Baby)', '0786811447')
(50, 5.0, 'The Eagle and the Rose : A Remarkable True Story', '0446677787')
(50, 5.0, 'Gift from the Sea : 50th Anniversary Edition', '0679406832')
(50, 5.0, "Afghanistan: A Russian Soldier's Story", '1580084168')
(50, 5.0, 'Gift from the Sea : 50th Anniversary Edition', '0394556747')
(50, 5.0, 'The Eagle and the Rose', '1570424268')
(50, 5.0, 'Small Steps: The Year I Got Polio', '0807574570')
(50, 5.0, 'The Complete Eldercare Planner, Second Edition : Where to Start, Which Questions to Ask, and How to Find Help', '0812932781')
(50, 5.0, 'Gift from the Sea', '0679732411')
(2620, 4.5, 'Literature Guide: The Giver (Grades 4-8)', '0590373587')
(1812, 4.5, "Tuesdays with Morrie : an old man, a young man, and life's greatest lesson", '1567406831')
(1812, 4.5, "Tuesdays with Morrie : an old man, a young man, and life's greatest lesson", '1590866347')
(1812, 4.5, "Tuesdays with Morrie : an old man, a young man, and life's greatest lesson", '1587880490')
(1811, 4.5, "Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson", '0385484518')
(1811, 4.5, "Tuesdays with Morrie : an old man, a young man, and life's greatest lesson", '1590866355')
(1811, 4.5, 'Tuesdays With Morrie (Wheeler Large Print Book Series (Cloth))', '156895557')
(1811, 4.5, "Tuesdays With Morrie : An Old Man, a Young Man, and Life's Greatest Lesson (AUDIO CASSETTE)", '1567407757')
(1811, 4.5, "Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson", '076790592')
(1695, 4.5, "Angela's Ashes", '0684874350')
(1695, 4.5, "Angela's Ashes", '0671043013')
(1695, 4.5, "Angela's Ashes (AUDIO CASSETTE)", '067158037')
(1695, 4.5, "Angela's Ashes (Wheeler Large Print Press (large print paper))", '156895963')
(1695, 4.5, 'Angelas Ashes: A Memoir', '068487217')
(1695, 4.5, "Angela's Ashes: A Memoir", '068484267')
(1627, 4.5, 'A Child Called ', '1402505272')
(1627, 4.5, 'A Child Called ', '1558743669')
(1621, 4.5, 'A Child Called ', '0613171373')
(1414, 4.5, 'Kill a Mockingbird, To', '0060933275')
(1414, 4.5, 'To Kill a Mockingbird', '157270036')
(1414, 4.5, 'To Kill a Mockingbird : The 40th Anniversary Edition of the Pulitzer Prize-Winning Novel', '0060194995')
(1414, 4.5, 'To Kill a Mockingbird', '0060935464')
(1414, 4.5, 'To Kill a Mockingbird', '1572701900')
(1414, 4.5, 'To Kill a Mockingbird', '006017322')
(1414, 4.5, 'To Kill a Mockingbird', '0446310786')
(1319, 4.5, 'Into Thin Air', '0553455893')
(1318, 4.5, 'Into Thin Air', '0553502190')
(1318, 4.5, 'Into Thin Air : A Personal Account of the Mount Everest Disaster (Modern Library Exploration)', '0679457526')
(1318, 4.5, 'Into Thin Air : A Personal Account of the Mt. Everest Disaster', '0385494785')
(1318, 4.5, 'Into Thin Air: A Personal Account of the Mount Everest Disaster (The Illustrated Edition)', '0375502807')
(1318, 4.5, 'Into Thin Air : A Personal Account of the Mt. Everest Disaster', '0553478672')
(1199, 4.5, 'Fast Food Nation : The Dark Side of the All-American Meal', '0553529005')
(1199, 4.5, 'Fast Food Nation', '0395977894')
(1199, 4.5, 'Fast Food Nation: The Dark Side of the All-American Meal', '0060938455')
(1199, 4.5, 'Fast Food Nation: The Dark Side of the All-American Meal (Thorndike Press Large Print Nonfiction Series)', '078389502')
(1048, 4.5, 'Go Ask Alice', '0689817851')
(1048, 4.5, 'Go Ask Alice', '0671664581')
(964, 4.5, 'Literature Guide: Where the Red Ferns Grow (Grades 4-8)', '0590373579')
(872, 4.5, 'The Time Quartet Box Set (A Wrinkle in Time, A Wind in the Door, A Swiftly Tilting Planet, Many Waters)', '0440360374')
(828, 4.5, 'Night', '1883332508')
(827, 4.5, 'Night', '0553272535')
(827, 4.5, 'Night', '0808511777')
(827, 4.5, 'Night', '0809073501')
(827, 4.5, 'Night', '1883332400')
(817, 4.5, 'The Stand : Expanded Edition: For the First Time Complete and Uncut (Signet)', '0451169530')
(817, 4.5, 'The Stand (The Complete and Uncut Edition)', '0385199570')
(782, 4.5, 'The Fellowship of the Ring (The Lord of the Rings, Part 1)', '0618129030')
(666, 4.5, 'Sphere', '0345353145')
(657, 4.5, 'Literature Guide: Bridge to Terabithia (Grades 4-8)', '0590065696')
(630, 4.5, 'Black Hawk Down: A Story of Modern War (Thorndike Press Large Print American History Series)', '0783889836')
(630, 4.5, 'Black Hawk Down: A Story of Modern War', '0451203933')
(630, 4.5, 'Black Hawk Down : A Story Of Modern War', '0743504364')
(630, 4.5, 'Black Hawk Down MTI', '0743509919')
(630, 4.5, 'Black Hawk Down: A Story of Modern War', '0140288503')
(630, 4.5, 'Black Hawk Down : A Story of Modern War (Abridged)', '0671045725')
(630, 4.5, 'Black Hawk Down: A Story of Modern War', '0871137380')
(630, 4.5, 'Black Hawk Down (Movie Tie-in)', '0451205146')
(611, 4.5, 'Pillars Of The Earth', '0671690841')
(610, 4.5, 'The Pillars of the Earth', '0451166892')
(610, 4.5, 'Pillars of the Earth, The', '1590862910')
(610, 4.5, 'The Pillars of the Earth', '0452280109')
(610, 4.5, 'The Pillars of the Earth (Bookcassette(r) Edition)', '0930435524')
(610, 4.5, 'Pillars of the Earth, The', '1561000469')
(589, 4.5, 'On Writing : A Memoir Of The Craft', '0743506650')
(589, 4.5, 'On Writing', '0743204360')
(589, 4.5, 'On Writing', '0743455967')
(589, 4.5, 'On Writing', '0671024256')
(589, 4.5, 'On Writing', '0684853523')
(589, 4.5, 'On Writing : A Memoir Of The Craft', '0671582364')
(584, 4.5, "It's Not About the Bike: My Journey Back to Life", '1565114485')
(584, 4.5, "It's Not About the Bike: My Journey Back to Life (Thorndike Biography)", '0786229004')
(582, 4.5, "It's Not About the Bike: My Journey Back to Life", '0399146113')
(582, 4.5, "It's Not About the Bike: My Journey Back to Life", '0425179613')
(582, 4.5, "It's Not About the Bike: My Journey Back to Life", '1565114493')
(573, 4.5, 'Jurassic Park', '0345370775')
(573, 4.5, 'Jurassic Park', '0394588304')
(573, 4.5, 'Jurassic Park', '0394588169')
(572, 4.5, 'John Adams', '0743504739')
(572, 4.5, 'John Adams (Thorndike Biography)', '0786236523')
(572, 4.5, 'John Adams', '0743525485')
(572, 4.5, 'John Adams', '0743504747')
(572, 4.5, 'John Adams', '0684813637')
(572, 4.5, 'John Adams', '0743223136')
(535, 4.5, 'The Shining', '0385121679')
(521, 4.5, 'And Then There Were None : A Novel', '0312979479')
(521, 4.5, 'And Then There Were None', '1568497369')
(521, 4.5, 'And Then There Were None (Audio Editions Mystery Masters)', '1572702508')
(521, 4.5, 'And Then There Were None (Audio Editions Mystery Masters)', '1572702516')
(521, 4.5, 'Ten Little Indians', '0945353642')
(508, 4.5, 'The Color of Water', '1573220221')
(508, 4.5, "The Color of Water: A Black Man's Tribute to His White Mother", '0613065425')
(508, 4.5, "The Color of Water : A Black Man's Tribute to His White Mother", '1573225789')
(502, 4.5, 'The Diary of a Young Girl : The Definitive Edition', '0553577123')
(502, 4.5, 'Diary of a Young Girl: Anne Frank', '0891902236')
(500, 4.5, 'Anne Frank: The Diary of a Young Girl', '0553296981')
(500, 4.5, 'Anne Frank: The Diary of a Young Girl - The Definitive Edition', '0385473788')
(500, 4.5, 'Anne Frank: Diary of a Young Girl (Audio Editions)', '0945353731')
(500, 4.5, 'Literature Guide: Anne Frank: The Diary of a Young Girl (Grades 4-8)', '059051377')
(500, 4.5, 'The Diary of a Young Girl', '0385480334')
(500, 4.5, 'Anne Frank : The Diary of a Young Girl', '0553473476')
(444, 4.5, 'The Killer Angels', '034540727')
(444, 4.5, 'The Killer Angels', '0345444124')
(444, 4.5, 'The Killer Angels', '0345348109')
(443, 4.5, 'Killer Angels, The', '1565111761')
(443, 4.5, 'The Killer Angels', '0679425411')
(417, 4.5, 'Red Dragon Movie tie-In', '0743527070')
(417, 4.5, 'Red Dragon Movie Tie-In', '0743527062')
(417, 4.5, 'Red Dragon', '0440206154')
(417, 4.5, 'Red Dragon', '0525945563')
(417, 4.5, 'Red Dragon', '0385319673')
(417, 4.5, 'RED DRAGON', '067167854')
(416, 4.5, 'Intensity', '0679449167')
(416, 4.5, 'Intensity', '0553582917')
(415, 4.5, 'Intensity', '0613014340')
(414, 4.5, 'One for the Money (A Stephanie Plum Novel)', '0312990456')
(413, 4.5, 'One for the Money (Stephanie Plum Novels (Paperback))', '0061009059')
(413, 4.5, 'ONE FOR THE MONEY : A Stephanie Plum Novel', '0684196395')
(413, 4.5, 'One For the Money : A Stephanie Plum Novel', '0743518381')
(401, 4.5, 'Wicca: A Guide for the Solitary Practitioner', '0875421180')
(400, 4.5, 'A Guide for Using Island of the Blue Dolphins in the Classroom', '1557344124')
(400, 4.5, 'Literature Guide: Island of the Blue Dolphins (Grades 4-8)', '0590373552')
(396, 4.5, 'Flowers In The Attic (Dollanganger)', '0671729411')
(387, 4.5, 'She Said Yes The Unlikely Martyrdom Of Cassie Bernall', '0849916453')
(387, 4.5, 'She Said Yes : The Unlikely Martyrdom of Cassie Bernall', '0743400526')
(387, 4.5, 'She Said Yes', '0874869870')
(387, 4.5, 'She Said Yes: The Unlikely Martyrdom of Cassie Bernall', '0874869226')
(384, 4.5, 'All Quiet on the Western Front (Pacemaker Classics (Audio))', '0835910601')
(381, 4.5, 'The Long Hard Road Out of Hell', '0060987464')
(381, 4.5, "Corelli's Mandolin", '0375417214')
(381, 4.5, 'Literature Guide: The Lion, the Witch, and the Wardrobe  (Grades 4-8)', '0590366475')
(378, 4.5, 'Literature Guide: The Cay (Grades 4-8)', '0590366432')
(376, 4.5, 'A Short History of Nearly Everything', '0739302949')
(376, 4.5, 'A Short History of Nearly Everything', '0767908171')
(369, 4.5, 'Watchers', '0425107469')
(369, 4.5, 'Watchers', '083351895')
(363, 4.5, "Good to Great : Why Some Companies Make the Leap...And Others Don't", '069452607')
(351, 4.5, 'The Firm', '0385319053')
(351, 4.5, 'The Firm', '044021145')
(351, 4.5, 'The Firm', '0553712616')
(351, 4.5, 'The Firm', '0385416342')
(350, 4.5, 'Naked', '1570424810')
(350, 4.5, "Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest", '074322454')
(350, 4.5, 'Naked', '0316777730')
(350, 4.5, "Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest (G K Hall Large Print American History Series)", '0783891520')
(350, 4.5, "Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest", '0743216458')
(350, 4.5, 'Naked', '1586212230')
(350, 4.5, 'Band Of Brothers', '0743504984')
(350, 4.5, 'Bud, Not Buddy', '0553526758')
(350, 4.5, "Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest", '0743464117')
(350, 4.5, 'BAND OF BROTHERS : ', '0671043919')
(350, 4.5, 'Band of Brothers', '0743507886')
(350, 4.5, "Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest", '0743216385')
(350, 4.5, "Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest", '0671867369')
(346, 4.5, "Zora Neale Hurston's Their Eyes Were Watching God (Bloom's Notes: Comprehensive Research & Study Guide)", '0791045684')
(345, 4.5, 'Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream', '0679785892')
(338, 4.5, 'Guilty Pleasures (Anita Blake Vampire Hunter (Paperback))', '0441304834')
(338, 4.5, 'Guilty Pleasures (Anita Blake, Vampire Hunter)', '051513449')
(337, 4.5, 'Wasted : A Memoir of Anorexia and Bulimia', '0060930934')
(332, 4.5, 'In a Sunburned Country', '055350259')
(330, 4.5, 'In A Sunburned Country (Random House Large Print)', '0375430563')
(330, 4.5, 'In a Sunburned Country', '0553502557')
(324, 4.5, 'Hot Six', '1559276053')
(324, 4.5, 'Hot Six (Stephanie Plum Novels (Audio))', '1578155460')
(324, 4.5, 'Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)', '0312976275')
