 
(Cantidad de reviews, Score, Titulo)
(349, 3.0, 'A Map of the World')
(348, 3.5, 'The Scarlet Letter ')
(345, 4.0, 'A Tale of Two Cities ')
(345, 4.0, 'The Bean Trees Anniversary Edition : A Novel')
(344, 4.0, 'The Bean Trees')
(344, 4.0, 'The Bean Trees')
(342, 3.5, 'The Dive From Clausen')
(340, 4.0, 'At Home in Mitford ')
(340, 4.0, 'At Home in Mitford ')
(340, 4.0, 'At Home in Mitford ')
(340, 4.0, 'At Home in Mitford ')
(338, 4.5, 'Guilty Pleasures ')
(338, 4.5, 'Guilty Pleasures ')
(337, 4.5, 'The Two Towers ')
(335, 3.5, 'Atlantis Found')
(335, 4.0, 'Mr')
(335, 4.0, 'Mr')
(335, 4.5, 'Charlie and The Chocolate Factory CD')
(335, 4.0, 'Mr')
(334, 3.0, 'The Bridges of Madison County')
(334, 3.0, 'The Bridges of Madison County')
(334, 4.0, 'Hard Eight : A Stephanie Plum Novel ')
(332, 4.5, 'Charlie and the Chocolate Factory ')
(330, 4.5, 'The Cider House Rules')
(330, 4.5, 'The Cider House Rules : A Novel ')
(330, 4.0, 'Density of Souls')
(328, 4.0, 'Shopgirl')
(328, 4.0, 'Shopgirl')
(328, 4.0, 'Shopgirl : A Novella')
(328, 3.5, 'Seize the Night')
(326, 2.0, 'Four Blondes')
(326, 3.5, 'The Deep End of the Ocean')
(326, 2.0, 'Four Blondes Cassette')
(326, 2.0, 'Four Blondes')
(326, 2.0, '4 Blondes')
(326, 3.5, 'The Deep End of the Ocean ')
(322, 4.0, 'Pawn of Prophecy ')
(321, 4.5, 'Vampire Lestat')
(321, 4.0, 'Back Roads')
(321, 4.0, 'Back Roads')
(320, 4.0, 'Flyy Girl')
(320, 4.0, 'Flyy Girl')
(319, 4.0, 'Back Roads')
(318, 4.0, 'Great Expectations ')
(318, 4.0, 'Foucault')
(318, 4.0, 'Whitney')
(317, 4.0, 'Frankenstein')
(316, 4.5, 'Survivor : A Novel')
(316, 4.5, 'One Flew over the Cuckoo')
(316, 4.5, 'Survivor: A Novel')
(316, 4.5, 'One Flew Over the Cuckoo')
(314, 3.5, 'Everything Is Illuminated')
(313, 3.5, 'Paradise ')
(313, 3.5, 'Paradise ')
(311, 4.0, 'The Blind Assassin ')
(311, 4.0, 'The Blind Assassin')
(310, 4.0, 'The Blind Assassin')
(309, 4.5, 'PET SEMATARY')
(305, 4.5, 'A Day Late and Dollar Short')
(305, 4.5, 'A Day Late and a Dollar Short')
(305, 3.5, 'Merrick ')
(305, 3.5, 'Merrick ')
(305, 3.5, 'Merrick ')
(305, 4.5, 'A Day Late and a Dollar Short')
(305, 4.5, 'A Day Late and a Dollar Short')
(304, 3.5, 'White Teeth : A Novel')
(303, 4.5, 'Dracula ')
(302, 4.5, 'The Godfather')
(302, 4.5, 'The Godfather')
(302, 4.5, 'Godfather')
(302, 4.5, 'The Godfather')
(300, 4.0, 'Infinite Jest : A Novel')
(300, 4.0, 'Infinite Jest: A Novel')
(299, 4.0, 'Drowning Ruth')
(299, 4.0, 'Drowning Ruth')
(297, 3.5, 'UNDERWORLD: A NOVEL')
(297, 3.0, 'From a Buick 8')
(297, 3.5, 'Glamorama ')
(296, 4.0, 'Big Trouble')
(296, 4.0, 'Wolves of the Calla ')
(295, 3.5, 'Jewel ')
(295, 4.0, 'Big Trouble')
(295, 3.5, 'Jewel ')
(295, 3.5, 'Jewel')
(295, 3.5, 'Jewel')
(294, 5.0, 'Lonesome Dove : A Novel')
(294, 5.0, 'Lonesome Dove')
(294, 5.0, 'Lonesome Dove Vol')
(293, 4.0, 'STONES FROM THE RIVER')
(292, 4.0, 'About a Boy ')
(292, 4.0, 'STONES FROM THE RIVER')
(292, 4.0, 'About a Boy')
(292, 4.5, 'Contact')
(291, 4.0, 'An Instance of the Fingerpost : A Novel')
(289, 1.5, 'The Klone and I')
(288, 4.5, 'The No')
(287, 3.5, 'Open House')
(287, 3.5, 'Open House : A Novel ')
(287, 3.5, 'Open House')
(287, 3.5, 'Open House ')
(287, 3.5, 'Open House')
(285, 4.0, 'I Don')
(285, 3.5, 'While I Was Gone ')
(285, 3.5, 'While I Was Gone')
(285, 4.0, 'I Don')
(285, 3.5, 'While I Was Gone')
(285, 3.5, 'While I Was Gone ')
(285, 3.5, 'While I Was Gone')
(285, 4.0, 'I Don')
(283, 3.0, 'Charming Billy')
(283, 3.0, 'Charming Billy')
(282, 4.0, 'Peace Like a River')
(282, 4.0, 'Peace Like a River')
(282, 4.0, 'Peace Like a River ')
(279, 4.0, 'The Client')
(279, 4.0, 'The Client')
(279, 4.0, 'The Client')
(277, 4.0, 'Otherwise Engaged : A Novel')
(276, 4.0, 'Moby')
(276, 4.0, 'The Once and Future King')
(276, 4.0, 'Moby')
(276, 4.0, 'Obsidian Butterfly')
(276, 4.0, 'Moby Dick : or the Whale ')
(275, 4.0, 'The Bonesetter')
(275, 4.0, 'The Bonesetter')
(275, 4.0, 'Obsidian Butterfly')
(275, 4.0, 'The Bonesetter')
(275, 4.0, 'Obsidian Butterfly ')
(275, 4.0, 'The Bonesetter')
(273, 3.5, 'The Red Badge of Courage: An Episode of the Civil War')
(272, 3.5, 'Waiting')
(271, 4.0, 'Eaters of the Dead')
(271, 4.0, 'Eaters of the Dead ')
(269, 4.0, 'A Kiss of Shadows ')
(269, 3.5, 'The Mark: The Beast Rules the World ')
(269, 4.0, 'Kiss of Shadows')
(267, 3.5, 'The Book of Ruth : A Novel ')
(267, 3.5, 'The Book of Ruth')
(266, 4.5, 'Shopaholic Takes Manhattan ')
(264, 3.5, 'The Chamber')
(264, 3.5, 'The Chamber')
(264, 3.5, 'The Chamber')
(263, 3.0, 'The Fourth Hand')
(263, 3.0, 'The Fourth Hand')
(263, 4.5, 'Dance upon the Air ')
(263, 3.0, 'The Fourth Hand')
(261, 3.0, 'How to Be Good')
(261, 4.0, 'Disgrace')
(261, 4.0, 'Disgrace')
(261, 3.0, 'How to Be Good')
(261, 3.0, 'How to Be Good')
(261, 4.5, 'The Master and Margarita ')
(260, 3.0, 'Vinegar Hill ')
(259, 4.5, 'Without Remorse')
(259, 4.5, 'Without Remorse')
(258, 5.0, 'Friends and Lovers')
(258, 5.0, 'Friends and Lovers')
(258, 5.0, 'Friends and Lovers')
(258, 4.5, 'Little Women ')
(258, 4.5, 'The Pact: A Love Story')
(255, 3.5, 'Bee Season : A Novel')
(255, 4.5, 'Jewels of the Sun ')
(255, 4.5, 'Jewels of the Sun ')
(255, 4.0, 'Ellen Foster')
(255, 4.5, 'Jewels of the Sun')
(255, 3.5, 'Bee Season')
(254, 4.5, 'Jonathan Livingston Seagull: A Story')
(254, 4.0, 'Ellen Foster')
(254, 4.5, 'Jonathan Livingston Seagull')
(254, 4.0, 'The Adventures of Tom Sawyer ')
(254, 4.5, 'Jonathan Livingston Seagull')
(254, 4.5, 'The World According to Garp ')
(253, 4.0, 'Between Lovers')
(253, 4.0, 'Between Lovers')
(253, 4.0, 'Between Lovers')
(252, 4.0, 'Catch Me If You Can')
(251, 4.0, 'Beach Music ')
(251, 4.0, 'Beach Music')
(251, 4.0, 'Blindness ')
(251, 4.0, 'Beach Music')
(250, 4.0, 'A Bend in the Road')
(250, 4.0, 'A Bend in the Road')
(250, 4.0, 'A Bend in the Road')
(250, 4.0, 'A Bend in the Road')
(250, 4.0, 'A Bend in the Road')
(250, 4.0, 'A Bend in the Road')
(250, 4.0, 'A Bend in the Road')
(249, 4.0, 'The Diary of Ellen Rimbauer: My Life at Rose Red ')
(249, 4.5, 'Invisible Man : A novel')
(249, 4.5, 'Invisible Man : A Novel')
(249, 4.5, 'War and Peace: The Maude Translation')
(249, 4.5, 'War and Peace ')
(248, 3.5, 'Blackwood Farm ')
(247, 3.5, 'Ice Station')
(245, 3.0, 'Songs in Ordinary Time ')
(245, 4.0, 'Blood of the Fold ')
(245, 3.0, 'The Jester')
(243, 4.5, 'Johnny Got His Gun')
(243, 4.5, 'Johnny Got His Gun')
(242, 2.5, 'Violin')
(241, 4.0, 'Men Cry in the Dark')
(241, 4.0, 'Men Cry in the Dark : A Novel')
(240, 4.0, 'The Plains of Passage ')
(240, 3.0, 'The Beach House')
(239, 4.0, 'Liar')
(239, 3.5, 'Dragons of Summer Flame')
(239, 4.0, 'All the Pretty Horses ')
(239, 3.5, 'Vittorio the Vampire ')
(239, 4.0, 'All the Pretty Horses ')
(239, 4.0, 'All the Pretty Horses')
(239, 4.0, 'The Liar')
(239, 3.5, 'Vittorio')
(239, 4.0, 'Liar')
(239, 3.5, 'Vittorio')
(238, 3.5, 'Back When We Were Grownups ')
(238, 3.5, 'Back When We Were Grownups: A Novel')
(238, 3.5, 'Back When We Were Grownups : A Novel ')
(237, 4.0, 'Little Altars Everywhere : CD')
(237, 4.0, 'Little Altars Everywhere non')
(237, 4.0, 'Little Altars Everywhere')
(237, 4.0, 'Little Altars Everywhere')
(237, 4.0, 'Little Altars Everywhere')
(237, 4.0, 'Little Altars Everywhere')
(236, 3.5, 'Back When We Were Grownups')
(236, 3.5, 'Back When We Were Grownups')
(236, 4.0, 'The Eyre Affair')
(236, 4.0, 'The Eyre Affair ')
(236, 3.5, 'Unnatural Exposure ')
(235, 4.5, 'The House of the Spirits')
(234, 4.5, 'B')
(234, 4.5, 'House of the Spirits')
(234, 4.0, 'The Rescue ')
(234, 4.5, 'Casting the First Stone')
(234, 4.5, 'Casting the First Stone')
(234, 4.0, 'The Rescue')
(234, 4.5, 'The House of the Spirits')
(234, 4.5, 'Casting the First Stone')
(234, 4.0, 'The Rescue')
(234, 4.0, 'The Rescue')
(232, 3.5, 'How Stella Got Her Groove Back')
(232, 4.0, 'Invisible Monsters')
(232, 3.5, 'How Stella Got Her Groove Back')
(232, 4.5, 'The Other Woman')
(231, 4.5, 'The Saving Graces: A Novel')
(231, 4.5, 'Cane River')
(231, 4.5, 'The Saving Graces : A Novel')
(231, 4.5, 'Cane River ')
(231, 4.5, 'The Saving Graces')
(230, 4.0, 'A Pirate Looks at Fifty')
(230, 2.5, 'A Common Life : The Wedding Story ')
(230, 2.5, 'A Common Life : The Wedding Story ')
(230, 4.0, 'A Pirate Looks at Fifty')
(230, 2.5, 'A Common Life : The Wedding Story ')
(230, 2.5, 'A Common Life: The Wedding Story ')
(230, 4.0, 'A Pirate Looks At Fifty')
(227, 4.5, 'Watermelon')
(227, 4.5, 'Watermelon')
(227, 4.0, 'The Maintenance Man')
(226, 4.0, 'Shopaholic Ties the Knot')
(226, 4.0, 'Shopaholic Ties the Knot ')
(226, 4.5, 'Not a Day Goes By')
(226, 4.5, 'Not a Day Goes By : A Novel')
(225, 4.5, 'In Cold Blood : A True Account of a Multiple Murder and Its Consequences ')
(225, 4.5, 'Preconceived Notions')
(225, 4.0, 'My Antonia ')
(225, 4.5, 'Love in the Time of Cholera ')
(225, 4.5, 'Replay')
(223, 5.0, 'The Dark Tower Gift Collection')
(222, 4.5, 'The Name of the Rose')
(221, 4.5, 'The Trench')
(220, 4.5, 'The Trench')
(219, 4.5, 'Anna Karenina ')
(219, 3.5, 'Tell Me Your Dreams')
(218, 4.0, 'Wish You Well')
(218, 4.5, 'Alas')
(218, 4.0, 'Wish You Well')
(218, 4.5, 'Alas')
(218, 4.0, 'Wish You Well')
(218, 4.0, 'Wish You Well')
(218, 4.0, 'Wish You Well')
(215, 4.0, 'Oryx and Crake')
(215, 4.0, 'Oryx and Crake')
(214, 4.5, 'Breakfast of Champions')
(212, 5.0, 'Tryin')
(212, 5.0, 'Tryin')
(212, 5.0, 'Tryin')
(211, 3.5, 'Gerald')
(210, 4.0, 'Heartbreaker')
(210, 4.0, 'Heartbreaker')
(209, 4.5, 'Until')
(209, 4.5, 'Until')
(208, 4.0, 'Mr')
(208, 4.0, 'Mr')
(207, 3.0, 'Night Whispers')
(207, 4.5, 'I Am Legend')
(207, 3.0, 'Night Whispers')
(206, 3.5, 'Oprah Dummy Icy Sparks ')
(206, 3.5, 'Icy Sparks')
(206, 3.5, 'Icy Sparks')
(206, 3.5, 'Icy Sparks ')
(205, 4.5, 'The Wind')
(205, 3.5, 'Ritual of Proof')
(205, 3.5, 'The Claiming of Sleeping Beauty ')
(204, 3.5, 'The Claiming of Sleeping Beauty')
(204, 4.0, 'The Day After Roswell')
(203, 4.0, 'Geek Love : A Novel ')
(202, 4.5, 'The Goal : A Process of Ongoing Improvement')
(202, 4.5, 'The Goal ')
(202, 4.0, 'The Loop: A Novel')
(201, 4.5, 'Princess in Love ')
(201, 4.0, 'The Guardian')
(201, 4.0, 'The Guardian')
(200, 3.5, 'Ethan Frome: Authoritative Text Backgrounds and Contexts Criticism ')
(200, 4.0, 'The Guardian')
(200, 4.5, 'Song of Solomon ')
(200, 4.5, 'Song of Solomon ')
(199, 5.0, 'A Ring of Endless Light ')
(198, 4.5, 'Straight Man : A Novel ')
(198, 4.5, 'Stardust')
(197, 4.5, 'Microserfs')
(197, 4.0, 'Welcome to the World')
(197, 4.0, 'Welcome to the World')
(197, 4.0, 'Welcome to the World')
(197, 4.0, 'Welcome to the World')
(196, 4.0, 'Girls')
(196, 4.0, 'Girls')
(196, 4.5, 'Magic')
(196, 4.0, 'Treasure Island ')
(196, 4.0, 'Treasure Island ')
(195, 4.0, 'Lucy Sullivan Is Getting Married')
(195, 4.0, 'Breath')
(195, 4.0, 'Lucy Sullivan Is Getting Married')
(195, 4.0, 'Lucy Sullivan Is Getting Married')
(195, 3.0, 'The Remnant: On the Brink of Armageddon ')
(195, 4.5, 'Youth in Revolt')
(194, 4.5, 'The Prince of Tides')
(194, 4.5, 'The Prince of Tides')
(194, 4.5, 'Man')
(194, 5.0, 'Paradise')
(194, 4.5, 'The Prince of Tides')
(194, 5.0, 'Paradise')
(193, 3.0, 'Visions of Sugar Plums ')
(193, 3.0, 'Visions of Sugar Plums ')
(191, 3.0, 'Batman: The Dark Knight Strikes Again')
(191, 4.0, 'Sick Puppy')
(191, 4.0, 'Chocolat')
(191, 4.0, 'Chocolat')
(191, 4.0, 'Sick Puppy')
(190, 3.0, 'East of the Mountains')
(190, 4.0, 'Abide With Me : A Novel')
(190, 3.0, 'East of the Mountains ')
(190, 3.0, 'East of the Mountains')
(190, 3.0, 'East of the Mountains ')
(189, 3.5, 'Nights in Rodanthe ')
(189, 4.5, 'I Capture the Castle')
(189, 3.5, 'Nights in Rodanthe')
(189, 4.0, 'The Visitation')
(189, 4.0, 'Possession : A Romance ')
(189, 4.0, 'Possession')
(189, 4.0, 'Carolina Moon')
(189, 4.5, 'I Capture the Castle')
(189, 4.0, 'The Picture of Dorian Gray ')
(188, 4.0, 'Fierce Invalids Home from Hot Climates')
(188, 4.0, 'Fierce Invalids Home from Hot Climates')
(188, 4.0, 'Cold Sassy Tree')
(188, 3.5, 'The Weight of Water')
(188, 4.0, 'Cold Sassy Tree')
(188, 4.0, 'Cold Sassy Tree')
(188, 4.5, 'Cannery Row ')
(188, 4.0, 'Fierce Invalids Home from Hot Climates : A Novel')
(187, 4.5, 'Moon Is a Harsh Mistress')
(186, 3.5, 'Less Than Zero')
(186, 4.0, 'War of the Worlds ')
(185, 4.0, 'Girl in Hyacinth Blue CD : CD')
(185, 4.0, 'The Pelican Brief')
(185, 4.0, 'The Sum of All Fears Movie Tie')
(185, 4.0, 'Ticktock')
(185, 4.0, 'Girl in Hyacinth Blue')
(185, 4.0, 'Girl in Hyacinth Blue')
(185, 4.0, 'Girl in Hyacinth Blue cassette : cassette')
(185, 4.5, 'Rendezvous With Rama')
(185, 4.0, 'The Pelican Brief ')
(184, 4.0, 'The Magus ')
(184, 4.0, 'The Magus')
(183, 3.0, 'Chasing the Dime')
(183, 3.0, 'Chasing the Dime')
(183, 3.0, 'Chasing the Dime')
(181, 4.0, 'The Day After Tomorrow')
(181, 4.0, 'Caress of Twilight')
(181, 3.5, 'A Thousand Acres ')
(181, 4.5, 'Dead Until Dark ')
(180, 4.5, 'Getting to the Good Part')
(180, 3.5, 'Serpent ')
(180, 4.5, 'Alice in Wonderland ')
(179, 4.5, 'The Exorcist')
(179, 4.5, 'What Dreams May Come : A Novel')
(179, 3.5, 'When We Were Orphans')
(179, 4.5, 'Push : A Novel ')
(179, 4.5, 'Push')
(179, 4.0, 'The Satanic Verses')
(179, 4.0, 'The Satanic Verses ')
(178, 4.0, 'The Satanic Verses')
(178, 4.5, 'Dragonfly in Amber')
